Unnamed: 0,Date,AveragePrice,TotalVolume,type,year,region,season
0,12/27/15,1.17,596819.4,conventional,2015,Lobster Cocktail,Winter
1,12/20/15,1.11,642682.4,conventional,2015,Lobster Cocktail,Winter
2,12/13/15,1.15,619509.33,conventional,2015,Lobster Cocktail,Winter
3,12/6/15,1.04,649141.25,conventional,2015,Lobster Cocktail,Winter
4,11/29/15,1.16,545800.05,conventional,2015,Lobster Cocktail,Winter
5,11/22/15,1.12,572019.8,conventional,2015,Lobster Cocktail,Winter
6,11/15/15,1.04,718330.48,conventional,2015,Lobster Cocktail,Winter
7,11/8/15,1.05,830967.23,conventional,2015,Lobster Cocktail,Winter
8,11/1/15,1.12,742220.67,conventional,2015,Lobster Cocktail,Winter
9,10/25/15,1.19,656892.03,conventional,2015,Lobster Cocktail,Autumn
10,10/18/15,0.99,1005603.78,conventional,2015,Lobster Cocktail,Autumn
11,10/11/15,1.24,653560.14,conventional,2015,Lobster Cocktail,Autumn
12,10/4/15,1.28,657444.04,conventional,2015,Lobster Cocktail,Autumn
13,9/27/15,1.19,696281.81,conventional,2015,Lobster Cocktail,Autumn
14,9/20/15,1.17,709268.62,conventional,2015,Lobster Cocktail,Autumn
15,9/13/15,1.09,924993.61,conventional,2015,Lobster Cocktail,Autumn
16,9/6/15,1.18,823623.36,conventional,2015,Lobster Cocktail,Autumn
17,8/30/15,1.24,734721.29,conventional,2015,Lobster Cocktail,Autumn
18,8/23/15,1.16,783935.36,conventional,2015,Lobster Cocktail,Autumn
19,8/16/15,1.14,882754.72,conventional,2015,Lobster Cocktail,Autumn
20,8/9/15,1.16,821523.45,conventional,2015,Lobster Cocktail,Autumn
21,8/2/15,1.17,800603.23,conventional,2015,Lobster Cocktail,Autumn
22,7/26/15,1.2,772926.12,conventional,2015,Lobster Cocktail,Summer
23,7/19/15,1.18,800194.34,conventional,2015,Lobster Cocktail,Summer
24,7/12/15,1.1,850931.58,conventional,2015,Lobster Cocktail,Summer
25,7/5/15,1.16,896298.77,conventional,2015,Lobster Cocktail,Summer
26,6/28/15,1.15,862261.64,conventional,2015,Lobster Cocktail,Summer
27,6/21/15,1.16,862840.73,conventional,2015,Lobster Cocktail,Summer
28,6/14/15,1.09,955046.82,conventional,2015,Lobster Cocktail,Summer
29,6/7/15,1.26,794310.29,conventional,2015,Lobster Cocktail,Summer
30,5/31/15,1.19,949177.06,conventional,2015,Lobster Cocktail,Summer
31,5/24/15,1.18,908661.83,conventional,2015,Lobster Cocktail,Summer
32,5/17/15,1.27,790853.86,conventional,2015,Lobster Cocktail,Summer
33,5/10/15,1.26,855205.82,conventional,2015,Lobster Cocktail,Summer
34,5/3/15,1.17,896972.05,conventional,2015,Lobster Cocktail,Summer
35,4/26/15,1.29,747841.09,conventional,2015,Lobster Cocktail,Spring
36,4/19/15,1.28,762862.62,conventional,2015,Lobster Cocktail,Spring
37,4/12/15,1.15,837629.62,conventional,2015,Lobster Cocktail,Spring
38,4/5/15,1.29,688065.45,conventional,2015,Lobster Cocktail,Spring
39,3/29/15,1.25,663677.32,conventional,2015,Lobster Cocktail,Spring
40,3/22/15,1.1,808897.21,conventional,2015,Lobster Cocktail,Spring
41,3/15/15,1.24,693698.13,conventional,2015,Lobster Cocktail,Spring
42,3/8/15,1.26,657745.9,conventional,2015,Lobster Cocktail,Spring
43,3/1/15,1.16,770115.24,conventional,2015,Lobster Cocktail,Spring
44,2/22/15,1.11,749845.79,conventional,2015,Lobster Cocktail,Spring
45,2/15/15,1.25,637319.34,conventional,2015,Lobster Cocktail,Spring
46,2/8/15,1.09,844931.21,conventional,2015,Lobster Cocktail,Spring
47,2/1/15,1.06,1007418.76,conventional,2015,Lobster Cocktail,Spring
48,1/25/15,1.2,692934.46,conventional,2015,Lobster Cocktail,Winter
49,1/18/15,1.23,657741.34,conventional,2015,Lobster Cocktail,Winter
50,1/11/15,1.17,670231.94,conventional,2015,Lobster Cocktail,Winter
51,1/4/15,1.08,788025.06,conventional,2015,Lobster Cocktail,Winter
0,12/27/15,0.9,5040365.47,conventional,2015,Clam Chowder,Winter
1,12/20/15,0.94,4695737.21,conventional,2015,Clam Chowder,Winter
2,12/13/15,0.87,5259354.3,conventional,2015,Clam Chowder,Winter
3,12/6/15,0.78,5775536.27,conventional,2015,Clam Chowder,Winter
4,11/29/15,0.91,4575710.62,conventional,2015,Clam Chowder,Winter
5,11/22/15,0.92,4804278.16,conventional,2015,Clam Chowder,Winter
6,11/15/15,0.83,5755190.69,conventional,2015,Clam Chowder,Winter
7,11/8/15,0.98,5148983.51,conventional,2015,Clam Chowder,Winter
8,11/1/15,0.95,5830427.96,conventional,2015,Clam Chowder,Winter
9,10/25/15,1.12,4592461.81,conventional,2015,Clam Chowder,Autumn
10,10/18/15,1.07,4999031.79,conventional,2015,Clam Chowder,Autumn
11,10/11/15,1.08,5063309.38,conventional,2015,Clam Chowder,Autumn
12,10/4/15,1.02,4943781.29,conventional,2015,Clam Chowder,Autumn
13,9/27/15,1.04,5216784.63,conventional,2015,Clam Chowder,Autumn
14,9/20/15,1.14,4759791.13,conventional,2015,Clam Chowder,Autumn
15,9/13/15,1.13,5106508.12,conventional,2015,Clam Chowder,Autumn
16,9/6/15,1.09,5806392.78,conventional,2015,Clam Chowder,Autumn
17,8/30/15,1.08,5647385.15,conventional,2015,Clam Chowder,Autumn
18,8/23/15,1.18,5193221.0,conventional,2015,Clam Chowder,Autumn
19,8/16/15,1.11,5616434.08,conventional,2015,Clam Chowder,Autumn
20,8/9/15,1.1,6232081.27,conventional,2015,Clam Chowder,Autumn
21,8/2/15,1.16,5428238.87,conventional,2015,Clam Chowder,Autumn
22,7/26/15,1.13,5557616.27,conventional,2015,Clam Chowder,Summer
23,7/19/15,1.18,5225200.52,conventional,2015,Clam Chowder,Summer
24,7/12/15,1.13,5451636.92,conventional,2015,Clam Chowder,Summer
25,7/5/15,1.12,6718011.83,conventional,2015,Clam Chowder,Summer
26,6/28/15,1.1,5641742.02,conventional,2015,Clam Chowder,Summer
27,6/21/15,1.07,5952597.29,conventional,2015,Clam Chowder,Summer
28,6/14/15,0.97,6741662.31,conventional,2015,Clam Chowder,Summer
29,6/7/15,0.98,6374842.9,conventional,2015,Clam Chowder,Summer
30,5/31/15,0.98,6236903.31,conventional,2015,Clam Chowder,Summer
31,5/24/15,1.1,5621713.64,conventional,2015,Clam Chowder,Summer
32,5/17/15,1.08,5289138.5,conventional,2015,Clam Chowder,Summer
33,5/10/15,0.93,6650357.96,conventional,2015,Clam Chowder,Summer
34,5/3/15,0.88,8567534.49,conventional,2015,Clam Chowder,Summer
35,4/26/15,1.15,4923565.04,conventional,2015,Clam Chowder,Spring
36,4/19/15,1.05,5871080.81,conventional,2015,Clam Chowder,Spring
37,4/12/15,1.06,5636644.51,conventional,2015,Clam Chowder,Spring
38,4/5/15,1.12,5467155.55,conventional,2015,Clam Chowder,Spring
39,3/29/15,1.1,5341821.67,conventional,2015,Clam Chowder,Spring
