dish,date,confirmed_so_far,rank,Continent
Crab Meat,1840-01-01,1,9.0,Seafood
Chicken Ferrego,1840-01-01,1,10.0,Chicken
Family Halibut Delight,1840-01-01,1,11.0,SteakSeafood
Yum Yum Chicken,1840-01-01,1,12.0,Chicken
Steak and Crab,1840-01-01,1,13.0,SteakSeafood
"Beefsteak, Broiled",1840-01-01,1,14.0,Steak
Salmon Steak with Chicken Wings,1840-01-01,1,15.0,SeafoodChicken
Chicken Fajita,1840-01-01,1,16.0,Chicken
Fusilli with Octopus,1840-01-01,1,17.0,SteakChickenSeafood
Strip bacon with Chicken,1840-01-01,1,18.0,Chicken
Chicken Fried Steak Sandwich,1840-01-01,1,19.0,Chicken
Oyster Pan Roast,1840-01-01,1,20.0,Seafood
Cream of Trout,1840-01-01,1,21.0,Seafood
Tenderloin Steak with Mushrooms,1840-01-01,1,22.0,Steak
Chicken Fajita and Salad,1840-01-01,1,23.0,Chicken
Chicken Curry,1840-01-01,1,24.0,Chicken
Sirloin Steak with Mushrooms,1840-01-01,1,25.0,Steak
Halibut Steak,1840-01-01,1,26.0,SteakSeafood
Escargo,1840-01-01,1,27.0,Seafood
Nova Scotia Lox and Scrambled Eggs,1840-01-01,1,28.0,SeafoodChicken
Soft Drink with Chicken,1840-01-01,1,29.0,Chicken
"Cream of Eye, Catfish",1840-01-01,1,30.0,SteakSeafood
Clam Chowder,1840-01-01,1,31.0,SeafoodChicken
Trout Milk,1840-01-01,1,32.0,Seafood
Half Pound Wings,1840-01-01,1,33.0,Chicken
Fried Scallops,1840-01-01,1,34.0,SteakSeafood
Seabass Beer and Steak,1840-01-01,1,35.0,SteakSeafood
Crab Meat Salad,1840-01-01,1,36.0,SteakSeafood
Sushi,1840-01-01,1,37.0,Seafood
Milk Fed Chicken,1840-01-01,1,38.0,SteakSeafood
Porterhouse Steak,1840-01-01,1,39.0,Steak
Stripped Bass,1840-01-01,1,40.0,SteakSeafood
Broiled Oysters,1840-01-01,1,41.0,SteakSeafood
"Half n half, lobster and chicken special",1840-01-01,1,42.0,SeafoodChicken
Clams,1840-01-01,4170,1.0,Seafood
"Chicken Soup, Lobster Dinner",1840-01-01,1,43.0,SeafoodChicken
Crab Flake Salad,1840-01-01,1,44.0,SteakSeafood
Cold Brew,1840-01-01,1,45.0,
Latte,1840-01-01,1,46.0,
Bone Sirloin Steak,1840-01-01,1,47.0,Steak
Machiatto,1840-01-01,1,48.0,
Omelette With Chicken Livers,1840-01-01,1,49.0,Chicken
Salisbury Steak,1840-01-01,1,50.0,Steak
Chicken Mayonnaise,1840-01-01,1,51.0,Chicken
Adam's Brew,1840-01-01,1,52.0,
Chicken Fricassee,1840-01-01,1,53.0,Chicken
"Halibut House, Picanhe Steak",1840-01-01,1,54.0,SteakSeafood
Reindeer Steak,1840-01-01,1,55.0,Steak
Beef Steak,1840-01-01,1,56.0,Steak
Nova Scotia Lox and Scrambled Eggs,1840-01-01,1,57.0,SeafoodChicken
Party Size Mussels and Shrimp,1840-01-01,1,58.0,SteakSeafood
"Steak, Gerostet",1840-01-01,1,59.0,Steak
Cream,1840-01-01,1,60.0,SteakSeafood
Chicken Teriyaki,1840-01-01,1,61.0,Chicken
Ginger Ale,1840-01-01,1,62.0,
Clam Stew,1840-01-01,1,63.0,SteakSeafood
Cream Soup with Fish,1840-01-01,1,64.0,SteakChickenSeafood
Chicken Fried,1840-01-01,1,65.0,Chicken
Chicken Sandwich,1840-01-01,1,66.0,Chicken
Smoked Salmon and Pulled Beef,1840-01-01,1,67.0,SteakSeafood
Roast Chicken,1840-01-01,1,68.0,Chicken
Chicken And Ham Pie,1840-01-01,1,69.0,Chicken
Imported Sardines,1840-01-01,1,70.0,SteakSeafood
Chicken Okra Soup,1840-01-01,1,71.0,Chicken
Rump Steak,1840-01-01,1,72.0,Steak
Sirloin Steak for 2,1840-01-01,1,73.0,Steak
Shashimi,1840-01-01,1,74.0,SteakSeafood
Boneless Catfish Fillet for two,1840-01-01,1,75.0,SteakSeafood
Nova Scotia Lox and Scrambled Eggs,1840-01-01,1,76.0,SeafoodChicken
Minute Steak,1840-01-01,1,77.0,Steak
Cola,1840-01-01,1,78.0,
